Country/Region,City,latitude,longitude,distance from Wuhan (km)
United Kingdom,London,51.5073219,-0.1276474,8894.725892490673
France,Paris,48.8566101,2.3514992,8928.347213691339
United States,New York City,40.7306458,-73.9866136,12061.342361413797
Iran,Teheran,35.7006177,51.4013785,5795.639250073285
Chile,Santiago de Chile,-33.4377968,-70.6504451,19456.30993938621
South Korea,Seul,37.5666791,126.9782914,1400.5441874380074
Ecuador,Quito,-0.2130423,-78.501997,16383.125771597215
Germany,Berlin,52.5170365,13.3888599,8052.123165005855
Spain,Madrid,40.4167047,-3.7035825,9886.210489949355
Mexico,Mexico City,19.4326009,-99.1333416,13421.235125858742
Netherlands,Amsterdam,52.3727598,4.8936041,8557.602478681049
Australia,Sidney,47.716735,-104.155973,10520.961541491772
Austria,Wien,48.2083537,16.3725042,8081.448480502912
Canada,Montreal,45.4972159,-73.6103642,11539.867110702662
India,New Delhi,28.6141793,77.2022662,3584.02176015641
Ireland,Dublin,53.3497645,-6.2602732,9087.070338497851
Singapore,Singapore,1.357107,103.8194992,3420.0201465031346
Switzerland,Bern,46.9482713,7.4514512,8733.225010689925
Japan,Tokyo,34.6968642,139.4049033,2392.4513402371153
Italy,Lombardia,45.6209,9.768893,8660.598273157848
China,Wuhan,30.5960213,114.2992796,0.0
