Country/Region,United Kingdom,France,United States,Iran,Chile,South Korea,Ecuador,Germany,Spain,Mexico,Netherlands,Australia,Austria,Canada,India,Ireland,Singapore,Switzerland,Japan,Italy,China
United Kingdom,0.0,343.8834205372437,5582.728556864244,4405.978997965412,11648.522879512295,8880.14770688232,9223.139501833059,933.4107641236288,1263.1019239179498,8941.939848873213,358.40050051031875,6856.389491882522,1238.8047757673298,5239.25370566888,6723.54936367021,464.59160196173207,10851.910515136355,748.8425854767692,9672.533853094386,979.282953413215,8894.725892490673
France,343.8834205372437,0.0,5850.394226203507,4217.767041064126,11625.838836143641,8988.497355270556,9357.4035434488,878.60552415199,1052.942773981774,9210.307923857623,430.4694357201537,7187.281568226093,1036.5387663239983,5524.168543854022,6598.772592540651,782.4532598639842,10733.468770816131,436.2321632617595,9822.501484971841,666.4885429295485,8928.347213691339
United States,5582.728556864244,5850.394226203507,0.0,9874.60339269844,8219.112450646782,11075.92420846243,4557.202508116098,6399.0394531117445,5780.313825427389,3360.2067201760406,5875.697025989954,2514.0100109274954,6811.983389277665,530.4249816013355,11774.293014724122,5125.9759790537955,15337.95743554284,6284.8165283518565,10982.630779767369,6510.791490559343,12061.342361413797
Iran,4405.978997965412,4217.767041064126,9874.60339269844,0.0,14779.951799031605,6567.571831073432,13525.874647873836,3511.5424181922876,4786.154244862726,13162.27720868023,4071.610920951623,10450.934323330219,3182.82140290683,9458.432758668503,2548.6776731055775,4827.942772976651,6602.656355080543,3828.5869189045384,7709.4172488479035,3643.058081452331,5795.639250073285
Chile,11648.522879512295,11625.838836143641,8219.112450646782,14779.951799031605,0.0,18363.497831877532,3768.400096371866,12503.598270766759,10679.74447595838,6586.929781771683,11989.550484922353,9590.369869557971,12487.918799943793,8746.60881156465,16924.387351472666,11440.722066410903,16406.788402890306,11831.414624302368,17258.760878469537,11909.037601853794,19456.30993938621
South Korea,8880.14770688232,8988.497355270556,11075.92420846243,6567.571831073432,18363.497831877532,0.0,15118.206612677537,8148.8866749677945,10018.677630722052,12070.233208153933,8578.467015221691,9287.350764222763,8295.654359182752,10576.704788573015,4696.298806078745,8974.589549377932,4658.7421490548095,8884.188377358198,1161.9786849306208,8861.740960123192,1400.5441874380074
Ecuador,9223.139501833059,9357.4035434488,4557.202508116098,13525.874647873836,3768.400096371866,15118.206612677537,0.0,10155.220918745961,8743.249333159847,3129.689588181346,9577.701711194033,5862.648812826178,10389.03442314273,5086.6044671782865,15945.984801417759,8856.532359531475,19741.898527938298,9719.077417380355,14533.821383111343,9892.169611564985,16383.125771597215
Germany,933.4107641236288,878.60552415199,6399.0394531117445,3511.5424181922876,12503.598270766759,8148.8866749677945,10155.220918745961,0.0,1870.37096700257,9740.961738614054,577.5253028265709,7423.9271516774015,524.0811741028135,6018.336256404912,5791.013504658763,1320.2646537457547,9918.506924402502,752.3342172819056,9021.795967393084,810.9909436104205,8052.123165005855
Spain,1263.1019239179498,1052.942773981774,5780.313825427389,4786.154244862726,10679.74447595838,10018.677630722052,8743.249333159847,1870.37096700257,0.0,9077.020457590412,1481.9615726734353,7497.638641729331,1813.022482756459,5549.659235591258,7287.901179832169,1450.6447563903896,11388.536421606474,1153.7605178837239,10871.820800611855,1238.8544408270368,9886.210489949355
Mexico,8941.939848873213,9210.307923857623,3360.2067201760406,13162.27720868023,6586.929781771683,12070.233208153933,3129.689588181346,9740.961738614054,9077.020457590412,0.0,9229.670636352748,3170.1961407419813,10167.547554806359,3723.2591990057285,14673.443244841117,8483.652028927178,16618.49270531035,9644.329938226845,11407.88999543989,9869.578328963697,13421.235125858742
