Country/Region,beta1,beta1_ci_l,beta1_ci_u,gamma1,gamma1_ci_l,gamma1_ci_u,E01,E01_ci_l,E0_ci_u,I01,R01,reproductive number1,ndays1,beta2,beta2_ci_l,beta2_ci_u,gamma2,gamma2_ci_l,gamma2_ci_u,E02,E02_ci_l,E02_ci_u,I02,R02,reproductive number2,ndays2,beta3,beta3_ci_l,beta3_ci_u,gamma3,gamma3_ci_l,gamma3_ci_u,E03,E03_ci_l,E03_ci_u,I03,R03,reproductive number3,ndays3,latency,start_idx,inflection_point1,inflection_point2,inflection_point3,inflection_point4,before_day,fit date,beta1_guess,gamma1_guess,E01_guess,rsquared1,chisquared1,p1,beta2_guess,gamma2_guess,E02_guess,rsquared2,chisquared2,p2,rsquared3,chisquared3,p3,recovery_rate,death_rate,peak_date_current_beta,peak_value_current_beta,peak_date_b90,peak_value_b90,peak_date_b50,peak_value_b50,peak_date_b10,peak_value_b10,confirmed,recovered,dead,population
United Kingdom,0.103451034,0.02509618,0.426444047,0.0498968,0.025720856,0.09679657,2.847083039,0.830186379,9.763930167,2,0,2.073299956,18,0.72030615,0.693455812,0.748196123,0.012769889,0.009917454,0.016442735,11.80446486,10.17138825,13.6997416,5,8,56.40660971,15,0.277006131,0.261690395,0.293218238,0.014798052,0.012185952,0.017970064,1882.180274,1635.151478,2166.528687,300,22,18.71909453,27,5.1,0,15,25,50,50,0,4/5/2020 15:08,1,1,1,0.458210427,49.16981293,0.020258181,0.01,1,1,0.990844234,31.25949345,0.218746526,0.994138129,6035.86431,0,0.005061563,0.101702098,6/20/2020 7:51,50238419.07,6/28/2020 3:07,47449089.09,8/13/2020 12:45,40650399.59,4/4/2021 0:00,603265.8114,42477,215,4320,67886004
France,0.02623436,0.014911487,0.046155133,0.022092217,0.017798405,0.027421898,6.173311884,5.035035819,7.568919267,2,0,1.187493334,32,0.578894321,0.57782146,0.579969173,0.005306212,0.005165876,0.005450359,171.4217316,170.7354396,172.1107823,2,12,109.0974826,19,0.2361749,0.212153517,0.262916139,0.04524029,0.040389579,0.050673562,7570.442704,5887.978193,9733.664231,4393,103,5.220455083,22,5.1,0,32,32,50,50,0,09:04.9,1,1,1,0.823579574,36.21996986,0.991515456,0.01,1,1,0.991141231,346.5828301,1.91E-53,0.978481826,11548.3196,0,0.171407186,0.083370025,19:05.9,55776872.93,07:23.2,23696252.61,16:34.6,13127995.84,4/4/2020 0:00,53399.22678,90848,15572,7574,65273512
United States,0.026323651,0.018560125,0.037334585,0.015569989,0.012848177,0.018868401,8.203466971,7.336809711,9.17249772,1,0,1.690666,33,0.71415616,0.71408034,0.714231988,0.005461018,0.005452018,0.005470033,42.98564651,42.9136027,43.05781127,53,7,130.7734513,26,0.21801856,0.209483812,0.226901029,0.012012651,0.010706511,0.013478132,89194.75778,85299.69179,93267.68537,52686,1054,18.14908029,12,5.1,0,33,37,62,62,0,09:18.6,1,1,1,0.924190981,25.18355128,0.999986422,0.01,1,1,0.995995243,1943.044584,0,0.999591994,2874.113897,0,0.047440505,0.027220333,19:27.6,279861830.5,30:16.2,234800951.3,12:47.6,200071374.8,4/4/2021 0:00,5050824.352,308850,14652,8407,331002647
Iran,2.083573386,1.866927798,2.325359375,0.114828286,0.099122321,0.133022866,27.13462703,17.73727473,41.51077294,3,2,18.14512309,13,0.170193593,0.169981693,0.170405757,0.056138124,0.056079629,0.056196679,4737.48032,4724.345357,4750.651802,2278,644,3.031693655,32,0,0,0,0,0,0,0,0,0,52686,1054,0,0,5.1,0,13,13,45,45,0,09:29.3,1,1,1,0.993621603,249.7775538,1.60E-40,0.01,1,1,0.987268097,7107.070173,0,0,0,0,0.354053424,0.061927058,01:37.3,19601592.12,12:47.6,17348536.35,50:05.4,4313078.59,4/4/2020 0:00,33795.46307,55743,19736,3452,83992953
Chile,1.255265691,1.093630376,1.440790225,0.002739726,9.32E-06,0.805080413,0.535434898,0.034542604,8.299621357,1,0,458.1719774,15,0.204634912,0.203711565,0.205562444,0.015646289,0.015468537,0.015826083,850.3999081,845.4900998,855.338228,238,0,13.07881452,18,0,0,0,0,0,0,0,0,0,52686,1054,0,0,5.1,0,15,15,24,24,0,09:40.8,1,1,1,0.988858455,17.78568289,0.851352122,0.01,1,1,0.991851523,653.2808318,1.23E-117,0,0,0,0.126892574,0.006488825,40:21.6,12593581.95,15:18.9,12235416.33,01:37.3,9819315.584,4/4/2021 0:00,20476.56249,4161,528,27,19116209
South Korea,0.099688712,0.072041719,0.137945614,0.01538526,0.009084453,0.026056191,10.02643246,7.848230987,12.80917294,1,0,6.479494644,24,0.238037365,0.237594444,0.238481112,0.002739726,0.0026581,0.002823859,1888.429748,1885.025532,1891.840111,87,17,86.88363815,17,2.08E-14,0,inf,0.041914892,0.039674905,0.044281346,1773.177897,1490.709521,2109.170037,7470,399,4.95E-13,24,5.1,0,24,29,45,50,0,09:51.9,1,1,1,0.898169762,47.76734701,0.285171194,0.01,1,1,0.979133101,1576.259626,0,0.957550543,3109.405898,0,0.622784561,0.017428121,34:03.2,8909.721678,4/4/2020 0:00,8790.971885,4/4/2020 0:00,8790.971885,4/4/2020 0:00,8790.971885,10156,6325,177,51269183
Ecuador,0.042227682,0.022597729,0.078909574,0.002739726,0.00042967,0.017469459,9.280311195,7.872855737,10.93938194,6,0,15.41310399,13,0.181082513,0.180976233,0.181188856,0.008217742,0.008195577,0.008239967,890.4842551,889.9923711,890.9764109,35,2,22.03555567,20,0,0,0,0,0,0,0,0,0,7470,399,0,0,5.1,0,13,15,24,24,0,10:02.6,1,1,1,0.989965823,3.564587212,0.999992793,0.01,1,1,0.98903304,704.570876,5.91E-125,0,0,0,0.028860029,0.04963925,43:14.6,13578947.12,28:28.1,13346321.35,51:31.9,11626113.45,4/4/2021 0:00,107329.459,3465,100,172,17643060
Germany,0.02873657,0.018148839,0.045501006,0.002739726,0.000758062,0.009901699,12.01646561,11.08775575,13.02296416,1,0,10.48884801,20,0.445712305,0.445665954,0.445758662,0.002739726,0.002732834,0.002746636,399.7866655,399.6686455,399.9047204,12,15,162.6849915,26,0.124519888,0.110820633,0.139912597,0.044708225,0.042087487,0.047492154,30298.04241,27417.53829,33481.17414,24513,360,2.785167327,14,5.1,0,20,30,55,55,0,10:15.9,1,1,1,0.983389791,7.334579275,0.999999841,0.01,1,1,0.99139508,2949.037211,0,0.995360473,3071.831633,0,0.274736711,0.015027266,11:21.1,73508931.58,34:14.1,15922336.45,4/4/2021 0:00,2994288.665,59:38.4,63320.74787,96092,26400,1444,83783945
Spain,0.119151346,0.094624821,0.150035088,0.025453154,0.017340553,0.037361153,0.269099436,0.083746903,0.864682793,1,0,4.681201613,15,1.066102862,1.065370275,1.066835953,0.028898551,0.02882722,0.028970059,39.27505823,39.186909,39.36340575,4,2,36.89122145,16,0.210401018,0.187555831,0.236028858,0.049607585,0.04443571,0.055381415,18635.28207,15891.20855,21853.19868,2040,237,4.241307411,25,5.1,0,15,15,38,45,0,10:28.0,1,1,1,0.920128512,3.934364423,0.99999955,0.01,1,1,0.992120483,193.7931274,1.02E-26,0.97075031,43447.37426,0,0.271217741,0.094691205,43:57.8,23426846.21,47:55.7,14200835.49,18:11.9,6472238.255,22:31.4,25848.83403,126168,34219,11947,46754783
Mexico,0.089129503,0.031042812,0.255906853,0.060380904,0.043246186,0.084304625,6.280135375,4.50325527,8.758131166,1,0,1.476120724,15,0.341391865,0.339938941,0.342850999,0.005364977,0.005128054,0.005612846,123.4644024,122.6833883,124.2503885,8,4,63.63342651,18,2.99E-13,0,inf,0.103704756,0.04770061,0.225462033,1028.433841,583.8960408,1811.411779,938,55,2.88E-12,6,5.1,0,11,13,34,34,0,10:38.3,1,1,1,0.766644789,11.18028239,0.992021851,0.01,1,1,0.997414752,63.9142029,0.000675803,0.872961107,661.6086808,1.31E-137,0.375,0.035545024,4/6/2020 18:40,993.7793633,09:00.5,1111.956641,09:00.5,1111.956641,09:00.5,1111.956641,1688,633,60,128932753
